kepid,koi_disposition,kepler_name,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
9850966,FALSE POSITIVE,,0.0,0.0,0.86257154,0.0,0.5074838,0.0,0.0,0.0,0.9219251,0.68007034,0.85211426,0.0,0.92415947,0.783411,0.5624898,0.0,0.94348836,0.0,0.0,0.8378656,0.66919637,0.0,0.0,0.8904633,0.0,0.85708576,0.66627395,0.5923353,1.0228167,0.0,0.0,0.71672386
8826007,CONFIRMED,Kepler-1450 b,0.0,0.0,0.8624431,0.0,0.54472053,0.0,0.0,0.0,0.70789117,0.6624058,0.68172735,0.0,0.70226276,0.19142434,0.6421321,0.0,0.15827464,0.0,0.0,0.46855402,0.53419006,0.0,0.0,0.9702848,0.0,0.72321284,0.7214145,0.4883177,0.8168171,0.0,0.0,0.57631856
8620402,CONFIRMED,Kepler-1913 b,0.0,0.014304735,0.4570542,0.0,0.2501542,0.0,0.0,0.25125042,0.30796674,0.24940102,0.26973256,0.15891403,0.38037595,0.35033605,0.5881363,0.0,0.5337001,0.0,0.0,0.6009374,0.515773,0.0,0.0,0.3768562,0.032796003,0.217707,0.54594845,0.66329455,0.30625504,0.03588473,0.0,0.15906021
8379021,FALSE POSITIVE,,0.0,0.12972952,0.45848504,0.0,0.16288887,0.0,0.0,0.12089645,0.3902863,0.31618223,0.40875238,0.0,0.23317274,0.0,0.48712164,0.0,0.0,0.0,0.070599124,0.18740466,0.35174274,0.0,0.0,0.46097958,0.0,0.10986247,0.5331805,0.3692897,0.54571474,0.0,0.0,0.024911538
8104030,FALSE POSITIVE,,0.0,0.0,1.328457,0.0,0.37013918,0.0,0.0,0.0,1.4306133,1.2740506,1.0249983,0.0,1.6474661,1.1367996,0.5031215,0.0,0.82169724,0.0,0.0,1.5115514,0.8621411,0.0,0.0,1.370299,0.0,1.0765393,1.2970803,0.5061747,1.3721752,0.0,0.0,1.6516466
4813793,CANDIDATE,,0.0,0.0035503134,0.41964537,0.0,0.23251103,0.0,0.0,0.0,0.29853055,0.23026562,0.54679316,0.0,0.42030212,0.0,0.40954322,0.0,0.14627627,0.0,0.0,0.30868006,0.30896515,0.0,0.0,0.44796956,0.0,0.27403897,0.23853207,0.24103689,0.46003258,0.0,0.0,0.18334971
7266212,CANDIDATE,,0.0,0.0,0.7811488,0.0,0.6145836,0.0,0.0,0.0,1.4191321,1.0658567,1.8663564,0.0,1.2194198,0.74233544,1.2137461,0.0,0.2617867,0.0,0.0,1.4678941,0.4406675,0.0,0.0,1.1647806,0.0,1.1575572,1.1081132,1.1740963,1.7312889,0.0,0.0,1.0694729
9419020,CANDIDATE,,1.5616655,1.7270131,0.0,1.5659715,0.0,1.3337704,1.6913112,1.3322513,0.0,0.0,0.0,1.6070762,0.0,0.0,0.0,1.6794201,0.0,1.5909111,1.473144,0.0,0.0,1.5729575,1.543909,0.0,1.8614254,0.0,0.0,0.0,0.0,1.5716704,1.5674536,0.0
4270799,CANDIDATE,,0.0,0.21483293,0.32618275,0.0,0.2943192,0.0,0.0,0.30453172,0.4139738,0.5488851,0.32679397,0.0,0.39900196,0.40515342,0.68749446,0.0,0.41727436,0.0,0.023536496,0.6509415,0.65796,0.0,0.0,0.51376164,0.0,0.14046493,0.43851638,0.43150875,0.50243044,0.0,0.0,0.081812255
8811490,CANDIDATE,,0.0,0.0,1.211464,0.0,1.6338279,0.0,0.0,0.0,1.3465497,1.4435719,1.7048179,0.0,1.3002777,1.4802737,1.3626426,0.0,1.1652371,0.0,0.0,1.8263752,1.6651161,0.0,0.0,1.4106772,0.0,1.5096494,0.9201061,0.98013544,1.6199372,0.0,0.0,1.0933726
