id_distrito,price_per_m2
369,49.449768741243396
371,136.27450980392157
374,63.932812668390525
375,45093.14490812133
378,11.294922989161437
379,218.54919951449472
381,100408.69170075408
382,4641.701296775959
384,38243.54459926407
385,
387,24.149382480975323
388,135.44355383369037
390,1.4161482296552501
391,1241.3612565445026
392,3095.0130481283422
393,9394.786315242156
397,1266.2920715337016
399,98.94903783937801
404,713.080871334149
405,1.025711159737418
407,4.319371727748691
414,227.1334626842628
415,121.2224369296833
417,151.9787936400417
419,26781.840671157664
420,4404.2341955499105
421,0.7238223909273309
423,2019.391911698835
424,143.7921450619327
425,67.41811404819043
426,19.787243613995223
427,3323.2040288956155
429,518.9456342668864
430,13645.153071697825
431,24.0
436,691.4597990579564
437,161.76470588235293
441,1404.8988484996107
442,590.7874967878172
443,12.416988416988417
444,112.95600638487865
445,64.27142857142857
446,58.31259039097731
448,103.55046356434113
452,5.555555555555555
455,78.20771306065424
462,1365.1933160838346
463,84.24340770791075
464,388.9022778833473
469,2.26395625
476,596.4879295257897
477,444.7313639626075
478,10.15625
479,83.24822244706148
480,229.6138258207326
481,441.57425565600283
482,600.4043126684636
483,55.03258508327299
486,632.9538117750457
488,64.64297112643645
489,1097.560975609756
490,581.4159862033282
491,906.2999922887349
