0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.14704537,0.106450394,0.005903892,0.22169727,0.0,0.13373408,0.21846345,0.29459822,0.0,0.018742643,0.0,0.1995297,0.0,0.009589851,0.0,0.26109245,0.0052244067,0.14556849,0.1536621,0.07395195,0.07049235,0.08492362,0.12737294,0.045314595,0.33315688,0.0,0.0,0.0,0.0,0.15376866,0.103458986,0.0
0.0,0.0,1.0462391,0.0,0.77711326,0.0,0.0,0.0,0.9620375,0.73596364,1.0711509,0.0,1.0624881,0.9842087,0.9224931,0.0,1.2293967,0.0,0.0,1.0412779,0.9566159,0.0,0.0,0.7879225,0.0,0.91771185,0.878679,0.90138984,0.976604,0.0,0.0,0.68512255
1.1307172,1.2613047,0.0,1.205,0.0,0.8810241,1.1153467,1.2617606,0.0,0.0,0.0,1.3102875,0.0,0.0,0.0,1.4558303,0.0,1.3186364,1.3926938,0.0,0.0,1.2105415,1.3431516,0.0,1.550462,0.0,0.0,0.0,0.0,1.2687086,1.2051773,0.0
1.3247246,1.4654634,0.0,1.367576,0.0,1.0292732,1.1526699,1.3611474,0.0,0.0,0.0,1.3816267,0.0,0.0,0.0,1.4314547,0.0,1.4027799,1.3530893,0.0,0.0,1.2628157,1.3210825,0.0,1.7016867,0.0,0.0,0.0,0.0,1.3923738,1.227738,0.0
0.5279272,0.6846103,0.0,0.7787783,0.0,0.6486491,0.69415426,0.63121784,0.0,0.0,0.0,0.7191918,0.0,0.0,0.0,0.83057564,0.0,0.6700495,0.7838729,0.0,0.0,0.7154432,0.6621945,0.0,0.93837124,0.0,0.0,0.0,0.0,0.7980574,0.4993081,0.0
0.35745704,0.52636063,0.0,0.57121783,0.0,0.5621161,0.6625521,0.6322706,0.0,0.0,0.0,0.61653215,0.0,0.0,0.0,0.68473446,0.0,0.39205864,0.6493762,0.0,0.0,0.5123552,0.38332206,0.0,0.62441814,0.0,0.0,0.0,0.0,0.51047295,0.3331861,0.0
0.0,0.0,1.1034552,0.0,1.140597,0.0,0.0,0.0,1.1581838,0.9175377,1.1933799,0.0,1.1079353,0.7637855,0.9818444,0.0,0.8164821,0.0,0.0,0.944949,0.808728,0.0,0.0,0.82543594,0.0,1.0467706,0.9511029,1.2904851,1.1870733,0.0,0.0,0.8724463
0.8726438,1.130176,0.0,0.7387325,0.0,0.7080239,0.90801203,1.0878975,0.0,0.0,0.0,0.98128456,0.0,0.0,0.0,1.0713906,0.0,1.2505999,0.98818994,0.0,0.0,1.0560315,1.0158278,0.0,1.1621997,0.0,0.0,0.0,0.0,1.0742866,0.8593792,0.0
0.9891243,1.2502377,0.0,0.85848665,0.0,0.8706756,0.94494385,1.0807058,0.0,0.0,0.0,0.9942309,0.0,0.0,0.0,1.1367732,0.0,1.330318,1.0757858,0.0,0.0,1.1676027,1.1369094,0.0,1.298443,0.0,0.0,0.0,0.0,1.2000273,0.93650734,0.0
1.0176536,1.1529615,0.0,0.90702057,0.0,0.6364018,0.9741372,1.2046431,0.0,0.0,0.0,1.1193093,0.0,0.0,0.0,1.117112,0.0,1.2872263,1.0337257,0.0,0.0,1.0186194,0.9385928,0.0,1.1810052,0.0,0.0,0.0,0.0,1.0596387,0.90764475,0.0
0.12659934,0.061534047,0.11923777,0.2755978,0.0,0.08057714,0.24373502,0.29306155,0.0,0.0,0.02478572,0.025562335,0.0,0.0,0.0,0.31599203,0.0,0.0,0.08605921,0.0,0.0,0.0,0.0,0.0,0.22080764,0.0,0.081707045,0.0,0.0,0.1503914,0.0,0.011069328
0.41159183,0.41256714,0.0,0.65216756,0.0,0.427982,0.70129496,0.68483484,0.0,0.0,0.0,0.5519143,0.0,0.0,0.0,0.66746515,0.0,0.34186327,0.61250305,0.0,0.0,0.41362184,0.4831686,0.0,0.65063727,0.0,0.0,0.0,0.0,0.60726255,0.26943892,0.0
0.0,0.0,1.2611246,0.0,0.43159908,0.0,0.0,0.0,1.3902452,1.0863602,1.1800324,0.0,1.1818722,1.442613,1.4338934,0.0,0.7844524,0.0,0.0,1.1276217,0.9104233,0.0,0.0,0.9003244,0.0,1.1367799,1.4226027,1.393897,1.3154325,0.0,0.0,1.2534881
0.0,0.0,0.48657832,0.0,0.0,0.0,0.0,0.0,0.15611517,0.047099262,0.5358583,0.0,0.5053733,0.06905836,0.2696189,0.045026835,0.2920031,0.0,0.0,0.33671924,0.18969621,0.0,0.0,0.2471528,0.030389972,0.09271151,0.39230585,0.17055985,0.29514188,0.0,0.0,0.37845308
0.6058417,0.79522806,0.0,0.83770674,0.0,0.78723025,0.8916315,0.68918777,0.0,0.0,0.0,0.91839826,0.0,0.0,0.0,0.85214955,0.0,0.83877754,0.977561,0.0,0.0,0.9023316,0.79165995,0.0,1.030699,0.0,0.0,0.0,0.0,0.8592415,0.6677969,0.0
0.46214497,0.655508,0.0,0.7038537,0.0,0.55310005,0.82369334,0.70424366,0.0,0.0,0.0,0.79174703,0.0,0.0,0.0,0.7922559,0.0,0.5564057,0.76364917,0.0,0.0,0.64579856,0.6585773,0.0,0.79260665,0.0,0.0,0.0,0.0,0.8013076,0.49407208,0.0
0.90032905,1.2010463,0.0,0.8847385,0.0,0.7226415,0.91714305,1.0481014,0.0,0.0,0.0,1.0334527,0.0,0.0,0.0,1.1046323,0.0,1.2915745,1.0053161,0.0,0.0,1.0739449,1.0249048,0.0,1.2155199,0.0,0.0,0.0,0.0,1.1372706,0.87858534,0.0
1.4207993,1.6743112,0.0,1.5525692,0.0,1.229502,1.5257981,1.3515289,0.0,0.0,0.0,1.51616,0.0,0.0,0.0,1.5752337,0.0,1.4909829,1.5640988,0.0,0.0,1.4813937,1.3702252,0.0,1.6836767,0.0,0.0,0.0,0.0,1.5053617,1.4646596,0.0
1.4496567,1.7673749,0.0,1.6128086,0.0,1.4384722,1.5322489,1.338668,0.0,0.0,0.0,1.3467559,0.0,0.0,0.0,1.4440148,0.0,1.3663406,1.4302466,0.0,0.0,1.2862144,1.0892979,0.0,1.5582995,0.0,0.0,0.0,0.0,1.501824,1.3499086,0.0
1.2806287,1.4828918,0.0,1.2400466,0.0,0.98579556,1.3127654,1.267245,0.0,0.0,0.0,1.4154854,0.0,0.0,0.0,1.4764578,0.0,1.4022633,1.364516,0.0,0.0,1.164454,1.1449416,0.0,1.4588525,0.0,0.0,0.0,0.0,1.2780672,1.3181856,0.0
1.2908114,1.5808216,0.0,1.3197664,0.0,1.1303,1.3443788,1.231293,0.0,0.0,0.0,1.3813004,0.0,0.0,0.0,1.5016633,0.0,1.4742585,1.4436934,0.0,0.0,1.34966,1.2254003,0.0,1.6187248,0.0,0.0,0.0,0.0,1.3768926,1.2687328,0.0
0.3913508,0.6084055,0.0,0.71200174,0.0,0.40166327,0.63268673,0.47203997,0.0,0.0,0.0,0.56113356,0.0,0.0,0.0,0.72660226,0.0,0.4238609,0.467581,0.0,0.0,0.43036678,0.5677223,0.0,0.80598015,0.0,0.0,0.0,0.0,0.76797915,0.30098912,0.0
0.4782207,0.63269925,0.0,0.6320582,0.0,0.71343744,0.809374,0.72464865,0.0,0.0,0.0,0.83064324,0.0,0.0,0.0,0.70790565,0.0,0.7170481,0.8369233,0.0,0.0,0.7468655,0.62102854,0.0,0.7510091,0.0,0.0,0.0,0.0,0.6768226,0.51550275,0.0
0.22236641,0.61263394,0.0,0.53614205,0.0,0.52902573,0.46000463,0.44060254,0.0,0.0,0.0,0.48820835,0.0,0.0,0.0,0.45513958,0.0,0.54274195,0.67929494,0.0,0.0,0.6810151,0.5389105,0.0,0.61528456,0.0,0.0,0.0,0.0,0.5911415,0.30798623,0.0
0.0,0.0,1.3189583,0.0,0.984273,0.0,0.0,0.0,1.3775913,0.7260625,1.3652064,0.0,1.0874659,1.531009,1.5232241,0.0,1.7295651,0.0,0.0,1.6508849,1.4475946,0.0,0.0,1.2237818,0.0,1.1704125,1.299237,1.2782592,1.36146,0.0,0.0,0.7542096
0.0,0.0,0.76945317,0.0,0.2124474,0.0,0.0,0.0,0.9822683,0.40675405,0.83085907,0.0,0.50659084,1.1263252,0.9534241,0.0,0.66900414,0.0,0.0,0.67883724,0.71388656,0.0,0.025201391,0.5611073,0.0,0.5316839,0.83764243,0.8105905,0.92471814,0.17899367,0.0,0.5423667
1.3600765,1.7561142,0.0,1.4239098,0.0,1.6227124,1.4532773,1.213948,0.0,0.0,0.0,1.2318376,0.0,0.0,0.0,1.3662386,0.0,1.4630799,1.4277655,0.0,0.0,1.372958,1.1973566,0.0,1.6081138,0.0,0.0,0.0,0.0,1.5382575,1.3246273,0.0
0.66848004,0.75279903,0.0,0.8662406,0.0,0.75598013,1.0195097,0.88729686,0.0,0.0,0.0,0.9776345,0.0,0.0,0.0,0.91805744,0.0,0.7271063,0.9187677,0.0,0.0,0.7868148,0.7761593,0.0,0.9447889,0.0,0.0,0.0,0.0,0.90362364,0.6094171,0.0
0.0,0.0,0.45225462,0.0,0.0,0.0,0.033617057,0.16682807,0.20350406,0.057427727,0.32203275,0.0,0.25625813,0.052720923,0.2834869,0.03545965,0.22823691,0.0,0.0,0.31324664,0.14356346,0.0,0.0,0.2984077,0.09511837,0.06812367,0.41540378,0.35392094,0.28638783,0.0,0.0,0.20466195
0.015163051,0.23037009,0.16166356,0.29887992,0.0,0.208064,0.41741955,0.25527567,0.0,0.0,0.0,0.36691868,0.0,0.0,0.0,0.29347318,0.0,0.3362241,0.36498573,0.060787663,0.0,0.46634746,0.34151974,0.0,0.43337053,0.0,0.06492354,0.0,0.0,0.40941164,0.089594334,0.12591314
1.1798106,1.5324317,0.0,1.2391,0.0,1.105752,1.2523673,1.1818386,0.0,0.0,0.0,1.344495,0.0,0.0,0.0,1.4156758,0.0,1.4900824,1.3365808,0.0,0.0,1.4928713,1.2502408,0.0,1.5905921,0.0,0.0,0.0,0.0,1.3524393,1.1757786,0.0
1.1359717,1.3386886,0.0,1.0441666,0.0,0.91366273,1.1710184,1.155791,0.0,0.0,0.0,1.3363854,0.0,0.0,0.0,1.3621855,0.0,1.4265693,1.239633,0.0,0.0,1.2179888,1.1319007,0.0,1.3789753,0.0,0.0,0.0,0.0,1.2275614,1.2084178,0.0
0.41693008,0.44876325,0.0,0.5815634,0.0,0.51658505,0.619676,0.6133451,0.0,0.0,0.0,0.51720023,0.0,0.0,0.0,0.67089796,0.0,0.3392635,0.5909932,0.0,0.0,0.3658933,0.35865435,0.0,0.61044115,0.0,0.0,0.0,0.0,0.5267026,0.3281183,0.0
0.0,0.0,0.25987738,0.07138635,0.0,0.017283589,0.02967649,0.0,0.1018385,0.11603314,0.2785517,0.0,0.3581677,0.26926127,0.027609266,0.02546047,0.50675446,0.0,0.0,0.23846677,0.20693785,0.0,0.0,0.25385883,0.0,0.10852677,0.23344386,0.047653466,0.11508923,0.0,0.0,0.17224765
0.0,0.0,0.8733076,0.0,0.75305974,0.0,0.0,0.0,1.0802771,0.8270694,1.1975257,0.0,0.71416235,1.030519,1.1433556,0.0,1.1273409,0.0,0.0,1.2941768,1.3123142,0.0,0.0,1.0430219,0.0,0.9400404,0.8237004,0.99961793,1.1840483,0.0,0.0,0.41405064
1.090961,0.99222153,0.0,1.134528,0.0,1.242327,1.3341407,1.2626789,0.0,0.0,0.0,1.4083202,0.0,0.0,0.0,1.1689748,0.0,1.5117224,1.2613192,0.0,0.0,1.2271518,0.9442022,0.0,1.2513816,0.0,0.0,0.0,0.0,1.0031683,1.08142,0.0
1.4561783,1.8034412,0.0,1.6612809,0.0,1.4648701,1.595681,1.3901936,0.0,0.0,0.0,1.3985598,0.0,0.0,0.0,1.472088,0.0,1.380324,1.4835005,0.0,0.0,1.3572133,1.0863544,0.0,1.5959599,0.0,0.0,0.0,0.0,1.5235978,1.3527493,0.0
0.9786595,0.870261,0.0,0.90517306,0.0,1.2294012,1.2189645,1.1583229,0.0,0.0,0.0,1.2959243,0.0,0.0,0.0,1.050289,0.0,1.4917423,1.1519581,0.0,0.0,1.115929,0.96464,0.0,1.1300483,0.0,0.0,0.0,0.0,0.9552949,1.0137181,0.0
0.0,0.0,0.35392082,0.04306549,0.062472183,0.0,0.0,0.012172494,0.119491175,0.11593594,0.32942426,0.0,0.34833592,0.29928735,0.24235117,0.0,0.51543546,0.0,0.0,0.365185,0.36297145,0.0,0.0,0.26297864,0.0,0.0640392,0.34694687,0.27570164,0.18573579,0.0,0.0,0.23424238
0.0,0.0,1.0697947,0.0,0.49822646,0.0,0.0,0.0,0.8667787,0.773179,0.9651775,0.0,1.0442951,0.8666986,0.7752562,0.0,1.2397091,0.0,0.0,0.96413004,0.8487592,0.0,0.0,0.8801256,0.0,0.8838684,0.90409434,0.7434474,0.8034241,0.0,0.0,0.7282539
1.4320421,1.6909091,0.0,1.4892138,0.0,1.4214222,1.4238292,1.2606876,0.0,0.0,0.0,1.260765,0.0,0.0,0.0,1.3669289,0.0,1.3661191,1.3502455,0.0,0.0,1.1843777,1.097963,0.0,1.4867944,0.0,0.0,0.0,0.0,1.4527045,1.3475783,0.0
1.2035173,1.2630782,0.0,1.1033117,0.0,1.0625311,1.1719296,1.1275537,0.0,0.0,0.0,1.2418076,0.0,0.0,0.0,1.2887455,0.0,1.4110423,1.4085437,0.0,0.0,1.329407,1.2784885,0.0,1.6194162,0.0,0.0,0.0,0.0,1.2445848,1.1959134,0.0
0.9937402,1.0964932,0.0,0.81555223,0.0,0.65869963,0.94779384,1.131486,0.0,0.0,0.0,1.1886947,0.0,0.0,0.0,0.92670035,0.0,1.2630426,1.0469544,0.0,0.0,1.0361745,0.90550923,0.0,1.075744,0.0,0.0,0.0,0.0,0.8888924,1.0122012,0.0
0.0,0.0,0.76273584,0.0,0.4370398,0.0,0.0,0.0,0.5663578,0.4638544,0.62800336,0.0,0.59998804,0.54844177,0.8090966,0.0,0.67930865,0.0,0.0,0.65486664,0.8520045,0.0,0.0,0.5849267,0.0,0.44444132,0.6959737,0.7219349,0.58875304,0.0,0.0,0.22956176
0.0,0.0,0.91909623,0.0,0.31251317,0.0,0.0,0.0,0.71899396,0.5343656,0.8861374,0.0,0.9900629,0.8520893,0.6584878,0.0,1.2469997,0.0,0.0,0.9061192,0.7130068,0.0,0.0,0.69992,0.0,0.6897958,0.8160882,0.660763,0.66820735,0.0,0.0,0.6828927
0.04729305,0.00080060214,0.044376343,0.35053366,0.0,0.12322608,0.2813592,0.20833443,0.0,0.0,0.12754488,0.10533132,0.10302922,0.01848898,0.0,0.32284993,0.07515159,0.0,0.21208751,0.042427704,0.045165982,0.05725304,0.073165536,0.0,0.29179448,0.0,0.09108189,0.0,0.0,0.26680085,0.024080917,0.06420627
